[ERROR] 2025-09-07 23:23:21,088 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:37:32,018 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:37:32,021 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:37:32,026 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:37:32,027 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:37:32,032 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:37:32,034 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:40:02,035 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:40:02,045 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:40:03,953 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:40:03,959 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:40:03,972 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:40:03,971 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:40:03,978 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:40:03,982 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:40:05,033 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:40:05,039 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:40:05,046 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:40:05,053 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:40:05,281 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:40:05,286 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:40:05,295 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:40:05,297 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:40:05,300 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:40:05,303 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:40:05,451 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:40:05,455 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:40:05,464 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:40:05,466 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:40:05,471 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:40:05,473 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:43:24,843 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:43:24,855 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:43:24,857 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:43:24,868 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:43:25,622 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:43:25,625 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:43:25,631 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:43:25,632 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:43:25,636 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:43:25,637 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:50:07,002 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:50:07,015 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:50:08,446 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:50:08,450 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:50:08,453 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:50:08,458 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:50:08,720 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:50:08,724 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:50:08,731 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:50:08,733 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:50:08,737 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:50:08,739 | basehttp.log_message:193 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:50:44,532 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:50:44,537 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:50:55,629 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:50:55,637 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:23,102 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:23,106 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:23,113 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:23,115 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:23,129 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:23,132 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:23,872 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:23,878 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:23,885 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:23,887 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:23,892 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:23,895 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:24,035 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:24,039 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:24,045 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:24,047 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:24,052 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:24,053 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:24,191 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:24,195 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:24,201 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:24,202 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:24,207 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:24,209 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:24,302 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:24,306 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:24,313 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:24,314 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:24,319 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:24,320 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:24,449 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:24,453 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:24,457 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:24,462 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:24,576 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:24,578 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:24,581 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:53:24,584 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:59:16,530 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:59:16,536 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:59:17,986 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:59:17,992 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:59:18,000 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:59:18,002 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:59:18,008 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:59:18,010 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:59:39,461 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 11:59:39,467 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 12:00:24,611 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 12:00:24,616 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 12:10:02,878 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 12:10:02,889 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 12:10:02,891 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 12:10:02,901 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 12:10:04,076 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 12:10:04,081 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 12:10:04,086 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
[ERROR] 2025-09-08 12:10:04,090 | basehttp.log_message:192 | You're accessing the development server over HTTPS, but it only supports HTTP.
